Accountant,"ADJ,ADM,ACC"
Financial Advisor,"ADJ,ADM,ACC"
 Sales Manager,"ADJ,ADM,ACC"
Business Manager,"ADJ,ADM,ACC"
Agricultural and Food Science Technician,AGE
Agricultural and Food Scientist,AGE
Conservation Scientist,AGE
Environmental Engineer,AGE
Agricultural Operators Specialist,AGM
Agronomy Salesperson,AGM
Business Manager,AGM
Claims Processor,AGM
Compliance Analyst,AGM
Building Architect,"ARC, ARA"
Landscape Architect,"ARC, ARA"
Naval Architect,"ARC, ARA"
Fine Artist,ARS
Illustrator,ARS
Photographer,ARS
Animator,ARS
Graphic Designer,ARS
Print Maker,ARS
Interior Designer,ARS
Art Agent,ARS
Public Accountant,ASA
Forensic Accountant,ASA
Corporate Accountant,ASA
Internal Auditor,ASA
Tax Examiner,ASA
Ged Instructor,BAC
Human Resource Manager,BAC
Corporate Trainer,BAC
Literacy Specialist,BAC
Atmospheric Scientist,BPG
Mining And Geological Engineer,BPG
Petroleum Engineer,BPG
Geophysicist,BPG
Geochemist,BPG
Hydrogeologist,BPG
Geotechnician,BPG
Minerals Surveyor,BPG
Environmental Engineer,BPG
Drilling Engineer,BPG
Arbitrator,"HML, HNM, HSJ, HSO"
Human Resource Manager,"HML, HNM, HSJ, HSO"
Office Manager,"HML, HNM, HSJ, HSO"
Occupational Psychologist,"HML, HNM, HSJ, HSO"
Training Development Officer,"HML, HNM, HSJ, HSO"
Careers Advisor,"HML, HNM, HSJ, HSO"
Recruitment Consultant,"HML, HNM, HSJ, HSO"
Sales Executive,"HML, HNM, HSJ, HSO"
Business Advisor,"HML, HNM, HSJ, HSO"
Labor Relations Manager,"HML, HNM, HSJ, HSO"
Animal Nutrionist,HUN
Food Technologist,HUN
Nutrional Therapist,HUN
Naturopath,HUN
Health Promotion Specialist,HUN
Clinical Dietitian,HUN
Food Safety Auditor,HUN
Oncology Nutritionist,HUN
Pediatric Nutritionist,HUN
Development Officer,JDA
Economic Policy Analyst,JDA
Foreign Service Officer,JDA
International Aid Worker,JDA
Project Coordinator,JDA
Banking Officer,JEA
Financial Planner,JEA
Statistical Analyst,JEA
Research Analyst,JEA
Marketing Specialist,JEA
Business Manager,JEA
Finacial Analyst,JEA
Accountant,JEA
Econommist,JEA
Lawyer,"LAE, LAW"
Paralegal,"LAE, LAW"
Legal Secretary,"LAE, LAW"
Management Consultant,"LAE, LAW"
Compliance Officer,"LAE, LAW"
Law Librarian,"LAE, LAW"
Lobbyist,"LAE, LAW"
Policy Analyst,"LAE, LAW"
Solicitor,"LAE, LAW"
Detective,"LAE, LAW"
Clinical Nurse,NUR
Telemedicine Nurse,NUR
Physician Associate,NUR
Paramedic,NUR
Mental Health Nurse,NUR
Midwife,NUR
Therapist,NUR
